,MRID,702,701,600,601,604,606,607,613,614,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,4,11,23,30,31,32,35,36,37,38,39,40,41,47,48,49,50,51,52,55,56,57,58,59,60,61,62,71,72,73,75,76,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,100,101,102,103,104,105,106,107,108,109,112,113,114,115,116,117,118,119,120,121,122,123,124,125,128,129,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
0,sub-0015,1527384,1366502,159267,757412,566505,372675,276424,374465,276930,13151,163006,63139,411886,41845,137728,224974,257510,16971,74285,31462,206701,21265,67602,114666,127688,7780,78449,31677,205185,20580,70126,110308,129822,6715,19819,18260,12252,207746,204140,41845,86537,51191,114606,110368,128262,129248,10028,9094,6064,104875,101826,21265,42593,25009,57948,56718,63966,63722,9791,9166,6188,102871,102314,20580,43944,26182,56658,53650,64296,65526,23554,13024,114027,39479,17662,29030,12815,10287,40550,35700,86537,28069,17636,100469,10157,11665,6692,57776,19729,9013,14610,6655,4911,20376,17306,44586,13362,9373,49323,5270,11889,6332,56251,19750,8649,14420,6160,5376,20174,18394,41951,14707,8263,51146,4887,839,1637,509,569,1100,1211,25614,3006,2997,60627,56630,17822,17655,4796,4470,364,325,6351,7455,1643,1683,4633,4779,9166,9094,5248,5430,5008,2463,2801,595,636,102314,101826,26182,25009,53650,56718,65526,63722,405,494,3591,3323,2192,2247,13151,4585,5355,4209,4305,2279,1873,11887,11204,3423,3891,4458,4954,5661,5350,2247,2838,2218,1766,2708,2911,8263,9373,2242,2455,8622,7361,14771,14327,9310,8065,2175,2118,4996,4629,1808,2232,17840,17761,5604,6416,4470,4576,997,562,3325,2507,6663,5666,18428,17365,2311,2742,5376,4911,3899,3264,1470,1483,4839,4626,13710,12800,3913,3817,2123,2387,1973,2293,9503,11692,2965,3098,1694,2059,13752,14896,1852,1452,1406,1591,12479,13996,4306,5278,9954,11656,3637,3857,10607,10034,7690,7434,10257,10197,4103,3465,1341,1759
1,sub-0027,1635954,1464758,169815,810814,614927,399981,297810,399911,303505,13612,165348,65521,431746,41167,163143,241872,292925,15034,78138,32370,210411,21072,80596,126283,143699,6531,76288,33151,221335,20095,82547,115589,149226,5963,21266,18412,13038,219011,212735,41167,101036,62107,123188,118684,143413,149512,10446,9442,6262,107393,103018,21072,50164,30432,64443,61840,69986,73713,10820,8970,6776,111618,109717,20095,50872,31675,58745,56844,73427,75799,24609,13943,117044,44267,19148,28321,12846,11559,45964,43513,89350,33838,21067,108360,13986,12048,6935,56932,21798,9680,14732,6340,5865,24120,20179,46567,17876,9349,53206,7431,12561,7008,60112,22469,9468,13589,6506,5694,21844,23334,42783,15962,11718,55154,6555,1008,1532,568,535,1194,1195,23983,3332,3252,58779,60815,17509,17323,4787,4295,285,248,5678,6283,1699,1688,5221,4971,8970,9442,5185,5222,5597,2246,3079,730,604,109717,103018,31675,30432,56844,61840,75799,73713,421,575,3860,3292,2495,2395,13612,3774,6068,4559,4287,2293,1600,11341,13423,4821,4132,5420,5130,7663,5849,2800,2634,2028,1783,2788,2849,11718,9349,2292,2238,8771,9835,14907,13425,10850,10198,2466,2499,4505,3576,2105,1850,20842,20280,5903,7259,4200,4881,701,792,2965,3079,8888,6654,19610,20207,3205,3317,5694,5865,3402,3313,2063,1855,5310,5088,15261,17084,3706,3706,2449,2648,2020,2767,11178,11493,3602,3068,2324,2901,14183,12343,2101,2335,1165,1566,13795,12461,5054,6411,10781,11213,3965,3709,9483,10438,8465,8753,12172,10821,3039,3831,2130,2195
2,sub-0020,1472675,1262757,208274,681140,538230,334662,261653,336230,262720,13857,161957,62000,380156,35039,133040,196176,226690,20263,75838,30688,188159,17768,66925,98492,113136,8621,75871,31312,191997,17271,66115,97684,113554,7913,19218,18069,12767,185550,194606,35039,81967,51073,93954,102222,107093,119597,9552,9036,6174,92191,95968,17768,41521,25404,46401,52091,53398,59738,9666,9033,6593,93359,98638,17271,40446,25669,47553,50131,53695,59859,20995,12395,103683,32989,15488,23723,11316,9581,37081,35305,69765,24189,13231,83606,10256,10420,5952,51696,16486,7637,12180,5588,4780,18510,18231,35048,11353,6213,41740,5445,10575,6443,51987,16503,7851,11543,5728,4801,18571,17074,34717,12836,7018,41866,4811,1354,2375,359,427,1095,1080,23124,3154,3031,59187,58869,16684,16969,4418,4329,339,248,7574,8373,1707,1627,4446,4467,9033,9036,5146,5309,5330,2187,2731,517,507,98638,95968,25669,25404,50131,52091,59859,59738,436,501,3878,3455,2279,2218,13857,3129,4428,4267,3887,2022,1741,8969,8380,3360,3635,4103,3493,5624,6379,2202,2144,1676,1738,2386,2164,7018,6213,2125,2209,6797,6514,12950,12218,8090,8217,2235,2044,4787,3734,1829,1777,17971,17104,4834,5257,3805,3885,700,707,2115,2113,5878,4554,14179,14763,2850,2952,4801,4780,3239,3222,1874,1742,3627,4018,12136,10646,3526,3444,2176,2065,2072,2406,8957,10145,2513,2750,1784,1784,11530,10892,1646,1810,1241,1258,11156,12285,3315,4575,7966,8077,4090,3787,8825,8446,6676,6660,8061,8099,3831,4287,1381,1851
3,sub-0029,1480709,1311011,168278,740937,533335,361307,257725,367569,264749,10861,176531,63208,377711,38847,135949,203826,256979,13164,82983,31119,182675,20227,66963,102389,127422,4649,81487,32089,195036,18620,68986,101437,129557,5182,21122,17237,12462,193866,183845,38847,84693,51256,102389,101437,129537,127442,10322,8755,6002,94175,88500,20227,41989,24974,50979,51410,63899,63523,10800,8482,6460,99691,95345,18620,42704,26282,51410,50027,65638,63919,20149,14593,103728,38531,16865,27127,11720,9748,39363,35582,76631,25758,18560,98031,12946,9868,7138,50729,18654,7786,14251,5976,5075,19575,17339,37646,13333,8679,48317,6903,10281,7455,52999,19877,9079,12876,5744,4673,19788,18243,38985,12425,9881,49714,6043,787,2546,530,597,1028,960,23575,3383,3359,63877,64921,17610,18062,4698,4451,292,228,4890,4421,1789,1590,5098,4776,8482,8755,5106,5254,5726,2649,3686,629,621,95345,88500,26282,24974,50027,51410,63919,63523,375,497,3729,3206,2356,2299,10861,4232,5761,4988,4652,1883,1551,9651,8957,4447,4310,4463,3888,4584,4572,2360,2484,2186,1730,2993,2992,9881,8679,2116,2629,7123,7553,15745,14430,9212,8457,1956,1720,4367,3913,1669,1796,15628,14757,5165,6030,3700,4126,684,569,3100,2258,7400,5203,16747,17095,3479,2668,4673,5075,2763,3417,1577,2068,4277,4577,11741,12764,3384,3492,2467,2486,2430,2168,9086,9143,2742,2471,2254,2361,12891,11070,2135,2443,1268,1545,13304,13112,4324,5223,10182,10221,4021,3324,10066,9325,6277,6167,10945,10625,3843,3313,1654,2099
4,sub-0038,1514787,1327432,185687,766207,525484,373162,254393,383292,259619,11472,137498,57648,416010,40057,147261,221653,251397,17071,62149,28505,205261,20606,73183,111211,122192,6933,65596,29143,210749,19451,74078,110442,129205,7223,18871,16277,10766,223874,192136,40057,94679,52582,119921,101732,128491,122906,9418,8175,5263,110555,94706,20606,47163,26020,59291,51920,62583,59609,9453,8102,5503,113319,97430,19451,47516,26562,60630,49812,65908,63297,24787,13240,122914,42893,20040,28272,11785,10881,43708,40090,87610,32311,18176,98203,12112,11685,6275,60818,21400,10377,14871,5735,5508,22318,19337,43094,16197,8715,47609,6259,13102,6965,62096,21493,9663,13401,6050,5373,21390,20753,44516,16114,9461,50594,5853,1442,1473,325,434,1141,1102,18670,3197,3197,52828,49722,12768,12427,4370,3972,422,176,6801,6757,1475,1391,4456,4396,8102,8175,4247,4448,4868,1917,2968,575,574,97430,94706,26562,26020,49812,51920,63297,59609,374,429,3059,2744,2070,2090,11472,4529,5948,4794,4265,2012,1414,12777,10192,4961,5321,5131,4965,5247,4810,2367,2165,2056,2348,2574,2797,9461,8715,2503,2135,8223,8597,14286,13674,10545,9206,2812,2301,4736,3626,1773,1834,21416,20186,6158,6905,4592,4623,944,570,3480,2810,7193,6214,17432,17008,2911,2822,5373,5508,4800,4427,2185,1888,4136,5297,15170,15627,3683,3570,2171,2010,2476,3064,10868,11731,3686,3347,1801,2123,14096,14495,1987,2071,1557,1735,13939,13332,4987,6672,10923,9592,4098,3994,9948,11579,8583,7455,10293,9472,3086,3693,2065,2065
5,sub-0031,1529482,1270015,257972,695885,514469,337088,248835,346065,253785,11849,160966,57426,356154,36063,136022,205800,236566,39054,72244,28574,175834,18566,67034,102813,116039,17890,75990,28852,180320,17497,68988,102987,120527,17534,18175,16299,11328,180934,175220,36063,82521,53501,103307,102493,115723,120843,9128,8244,5442,89020,86814,18566,40728,26306,50610,52203,57495,58544,9047,8055,5886,91914,88406,17497,41793,27195,52697,50290,58228,62299,21978,11510,100124,32904,14418,25240,10823,9858,40557,32106,77723,25584,16319,89991,9413,10670,5630,49713,15552,7455,13175,5391,4646,19866,16216,38713,11897,8730,43966,4799,11308,5880,50411,17352,6963,12065,5432,5212,20691,15890,39010,13687,7589,46025,4614,1496,2134,404,463,1044,1053,20607,3050,3057,60970,57537,15020,14707,4251,4127,417,416,17117,17474,1509,1449,4084,4159,8055,8244,4689,4819,6279,2813,3640,580,569,88406,86814,27195,26306,50290,52203,62299,58544,657,627,3121,2774,2108,2041,11849,4546,4495,3838,3715,2012,1739,10532,9102,2775,3155,3718,3919,4579,4563,2223,2014,1442,1334,2698,2367,7589,8730,2106,1740,8834,7391,13551,12277,8536,8498,1803,1756,4021,4540,1698,1329,15987,16199,5086,6320,4429,4359,883,487,2155,2066,6296,5256,16438,15743,2850,3128,5212,4646,3295,2619,1486,1418,3498,4140,12804,11410,3209,3377,2042,1915,1803,2202,9749,11924,3064,2816,1597,1773,11795,11795,1530,1752,1174,1299,12578,12736,3923,3862,9965,9007,3921,3027,8764,8680,7256,7639,8780,8307,2572,2579,1487,1274
6,sub-0036,1390388,1221328,167640,673230,501633,328814,241987,334723,246814,12832,136936,57711,363343,36577,126574,198148,233802,27350,63202,28208,178634,19132,64901,99883,112239,12673,64041,29503,184709,17445,61673,98265,121563,12618,19104,16128,11405,188658,174685,36577,77567,49007,100069,98079,114310,119492,9401,7999,5492,93293,85341,19132,39850,25051,49828,50055,54249,57990,9703,8129,5913,95365,89344,17445,37717,23956,50241,48024,60061,61502,22840,13762,98482,37985,15589,25345,11232,8454,35103,34010,74392,25677,17138,87567,9605,11470,6769,49221,18265,7568,13325,5807,4151,18522,17177,36838,12990,7655,41340,5254,11370,6993,49261,19720,8021,12020,5425,4303,16581,16833,37554,12687,9483,46227,4351,742,1317,442,520,1024,1004,19115,3224,3078,50304,49746,13737,13456,4098,3668,344,558,12274,12115,1534,1515,4503,4288,8129,7999,4338,4602,4839,2176,2678,644,636,89344,85341,23956,25051,48024,50055,61502,57990,488,614,3344,2875,2081,2003,12832,4359,4743,4355,4381,2352,1953,10363,10170,2827,3261,4356,3547,5732,5310,1927,2306,1777,1643,2811,2712,9483,7655,2653,2523,6254,6918,13377,10816,8274,8606,1759,2362,4768,4813,2176,2172,15299,16640,4454,5245,4191,4484,877,469,2856,2234,6384,5468,16033,15621,2550,3081,4303,4151,3346,3130,1679,1413,2893,3769,11810,12521,3498,3501,2638,2388,1888,2378,9124,10351,3068,2671,1874,1821,10045,10018,1430,2093,1684,1712,13058,11964,3967,4156,9020,8657,3323,3278,9047,7660,7244,6178,9573,8725,3023,3344,1047,1340
7,sub-0003,1582014,1416556,163888,794849,585084,388290,283727,394401,287749,13608,171842,64388,454410,40690,145323,216332,262617,11944,80200,31561,222427,21441,71806,109987,129143,5385,79484,32827,231983,19249,73517,106345,133474,4048,19694,18977,12999,234371,220039,40690,90140,55183,109295,107037,130600,132017,9730,9539,6392,114868,107559,21441,44371,27435,54418,55569,64611,64532,9964,9438,6607,119503,112480,19249,45769,27748,54877,51468,65989,67485,26148,13879,126388,48133,19823,28049,12641,11358,41234,37548,81619,27676,17117,99342,14141,12715,6872,62327,22740,10214,15546,5895,5968,21452,16951,40821,13597,8746,48172,7693,13433,7007,64061,25393,9609,12503,6746,5390,19782,20597,40798,14079,8371,51170,6448,632,1879,547,592,1159,1083,24679,3278,3218,62794,63412,16690,16788,4911,4044,454,428,3594,4957,1737,1646,4402,4274,9438,9539,5271,5452,6285,2431,3442,773,748,112480,107559,27748,27435,51468,55569,67485,64532,366,702,3952,3367,2289,2323,13608,3093,5174,4524,4544,2192,1514,11749,10463,4758,2773,4941,5119,5903,5145,2602,2286,2090,1886,3472,3422,8371,8746,2471,2469,7707,8056,16012,12377,9936,9033,2642,2807,4956,5431,2257,2604,22472,23120,5463,6796,5207,5178,1015,714,3142,2906,10270,7001,16912,17783,3187,3150,5390,5968,3187,3162,1583,1595,4454,4941,13064,12883,4144,3609,2483,2328,2578,3209,12051,12292,3392,3216,2209,3039,14125,13096,2210,2337,1773,1947,15781,13974,5480,5813,9306,9336,3425,3450,7692,8730,8391,8165,9855,9847,3441,3958,2029,2317
8,sub-0004,1678564,1504564,172702,855081,598306,419176,291709,423598,293888,12709,175782,69295,465447,43214,156965,236188,283231,27783,81381,34266,229619,22446,78735,118764,140370,9428,82094,35029,235828,20768,78230,117424,142861,14195,24159,18855,13792,246542,218905,43214,98828,58137,124169,112019,146242,136989,12028,9512,6583,121471,108148,22446,49677,29058,62140,56624,72241,68129,12131,9343,7209,125071,110757,20768,49151,29079,62029,55395,74001,68860,27235,15146,135762,48166,20233,30604,12610,11832,44949,42047,93127,31042,19923,112119,14200,12876,7596,67458,23190,10351,16139,6307,5871,23067,20739,46636,15504,9641,55079,7521,14359,7550,68304,24976,9882,14465,6303,5961,21882,21308,46491,15538,10282,57040,6679,937,3223,569,634,1169,1172,23394,4434,4290,64758,63518,17336,17863,4547,4331,314,331,13881,9097,1696,1755,5432,5349,9343,9512,5252,5304,6010,2620,3677,640,630,110757,108148,29079,29058,55395,56624,68860,68129,652,665,3819,3257,2738,2661,12709,4685,6593,4825,4952,2706,1945,13170,11927,3374,3151,4945,4998,6053,6040,2369,2384,2264,2384,3468,3699,10282,9641,2647,2699,8099,8601,17017,16528,11881,11548,3082,2855,5496,4758,2704,2062,24451,23663,5973,7236,5469,5155,1168,841,3447,2707,9777,7579,19296,19331,3313,3599,5961,5871,3780,3466,1744,1825,4284,4788,14370,14663,3934,3923,2725,2644,2673,2969,10340,12615,3102,2921,2790,3024,14310,13442,1948,2438,1405,1543,15450,15905,4996,6600,11728,11037,4497,3631,11253,11057,9507,8366,11220,10854,5101,5458,1941,2059
